,Q2,Q3,Q4,Q5,Q6,Q6_22_TEXT,Q7,Q8,Q8_6_TEXT,Q9,Q10,Q11,Q11_7_TEXT,Q12,Q12_4_TEXT,Q13,Q13_6_TEXT,Q14,Q14_8_TEXT,Q15
38,1,1,2,1,18,,Climate change,7,,7,1,2,,3,,7,,3,,revolution
39,2,3,2,3,11,,visa for foreigners,1,,8,4,5,,2,,1,,4,,
40,2,1,4,3,11,,Climate change,1,,6,1,1,,1,,1,,6,,
41,1,1,1,3,23,,North Korea issue,1,,3,4,5,,2,,1,,4,,
42,2,2,3,1,21,,,5,,5,4,5,,2,,6,,4,,
43,3,2,4,2,18,,Police violence!,1,,7,1,4,,1,,7,,6,,
44,3,2,4,2,23,,Climate change / international relations,8,,6,4,1,,1,,7,,4,,
45,1,1,4,3,11,,The border ,7,,1,2,3,,1,,7,,4,,
46,1,1,2,2,23,,Immigration ,7,,2,2,1,,1,,7,,3,,It’s gonna be a nightmare 
47,4,2,4,2,21,,Economy,3,,7,1,7,,2,,1,,4,,
48,1,1,1,3,23,,immigration,1,,7,3,3,,1,,5,,4,,No 
49,1,1,2,3,10,,Student Loans,1,,7,2,5,,2,,7,,4,,
50,1,1,2,3,21,,healthcare,1,,7,2,3,,1,,7,,4,,i'm less educated about it than i should be
51,1,4,2,3,21,,CLIMATE CHANGE,7,,6,2,7,COMPUTER SCIENCE,2,,7,,4,,MY OPINIONS ARE STILL SUBJECT TO CHANGE (I'M NOT SET ON A SINGLE CANDIDATE)
52,2,3,3,2,18,,Corruption,7,,8,2,5,,2,,8,,,,
53,1,1,,3,23,,Climate Change,1,,4,3,3,,1,,1,,6,,
54,4,4,4,2,21,,ABORTION RIGHTS,1,,9,2,2,,1,,5,,4,,#yanggang
55,2,3,4,3,23,,maintaining human rights,8,,9,2,2,,1,,6,Catholic,3,,
56,4,2,4,2,21,,Abortion,1,,7,3,3,,1,,7,,4,,
57,2,2,2,3,23,,Climate change,7,,4,2,3,,1,,7,,7,,I’m excited to spend more time delving into the election
58,3,1,4,2,10,,Gun Control,1,,7,1,3,,1,,7,,7,,Feel the Bern
59,4,1,4,3,18,,Mass incarceration ,1,,1,2,3,,1,,7,,3,,Please don’t let trump win. 
60,4,1,4,3,21,,Human rights,1,,5,3,4,,1,,1,,4,,The Democratic Party is so divided which only adds to my anxiety regarding the 2020 election.
61,4,1,4,1,10,,Wealth inequality,1,,7,1,4,,2,,7,,7,,
62,4,4,4,3,21,,Ensuring a baseline of no discrimination within the system. ,1,,5,3,2,,1,,3,,4,,Hopefully it goes well!
63,2,1,4,1,10,,Student loans ,1,,1,2,2,,2,,7,,7,,
64,1,2,4,1,18,,Immigration and gender representation,7,,1,4,2,,1,,1,,4,,
65,2,1,4,2,18,,Climate change,1,,4,1,4,,1,,7,,6,,
66,1,1,1,2,8,,Not sure,7,,1,2,4,,1,,1,,6,,Na
67,1,1,2,2,23,,,4,,3,4,5,,1,,7,,4,,Not Trump
68,1,2,1,3,23,,climate,8,,2,2,5,,2,,8,,3,,
69,3,1,4,2,10,,Dismantling capitalism,7,,3,3,3,,1,,7,,4,,feeling the bern
70,4,3,4,2,18,,Environmental justice/ Climate change action ,7,,3,2,3,,2,,7,,6,,"The level of debate on core issues to our future such as climate change, social justice, and governmental reform are really falling flat and I’m disappointed that more candidates are not taking this seriously "
71,3,1,4,2,10,,Medical care,7,,4,1,3,,1,,7,,1,,
72,2,1,3,3,18,,"Sustainable energy transition, international relations and cooperation",1,,5,2,4,,2,,7,,7,,I have actually talked about the presidential election frequently with friends and family but I could not go back and change my answers. 
73,1,1,4,3,23,,LGBT rights,1,,7,1,5,,1,,7,,4,,No
74,2,1,2,2,23,,Economic policy ,1,,1,2,2,,1,,1,,4,,
75,4,4,4,2,8,,Anti interventionism,4,,8,2,5,,2,,7,,6,,Tulsi/ Bernie or bust. The rest are all corporately controlled warmongerers
76,1,1,1,3,23,,Education,7,,4,1,5,,2,,7,,4,,Not sure
77,1,1,4,3,10,,Climate change,1,,1,1,2,,2,,1,,2,,
78,2,1,4,2,11,,Science and technology ,1,,6,2,5,,2,,7,,4,,N/a
79,2,1,4,3,23,,Indigenous rights ,1,,2,1,2,,1,,8,,2,,They are all serving this white supremacist nation 
80,1,1,1,3,23,,Homelessness,7,,8,4,3,,1,,7,,4,,
81,3,3,3,3,23,,,8,,3,2,5,,1,,7,,4,,
82,1,1,4,2,21,,Immigration issue ,8,,3,4,7,,5,,8,,4,,
83,3,1,4,2,18,,Access for marginalized groups ,1,,1,3,2,,2,,7,,8,Native pacific islander,
84,1,1,4,3,21,,Freedom and Democracy ,1,,7,3,4,,2,,2,,6,,
85,1,1,1,3,8,,Impose,3,,2,4,3,,1,,1,,4,,
86,4,2,4,2,18,,Easier Immigration,1,,7,4,5,,2,,2,,6,,
87,4,,4,2,18,,Immigration camps,1,,5,2,3,,2,,1,,7,,
88,4,4,4,2,10,,Abolishing capitalism,7,,5,2,2,,1,,7,,6,,
89,3,2,4,2,18,,Environmental Issues ,1,,5,2,3,,1,,7,,6,,
90,4,3,3,2,18,,Climate change,1,,6,1,2,,1,,7,,6,,
91,1,3,4,3,23,,,6,No party preference ,5,2,1,,2,,7,,6,,
92,1,2,4,3,10,,Peace,1,,2,2,5,,2,,5,,4,,No
93,4,1,4,3,18,,Climate change!,1,,7,1,1,,1,,7,,7,,
94,4,4,4,2,18,,Foreign policy,1,,7,1,1,,2,,2,,5,,
95,1,1,3,2,2,,International relations ,1,,1,2,2,,1,,4,,4,,
96,2,2,4,3,5,,"Values, healthcare",1,,6,3,6,,1,,7,,4,,
97,4,3,3,3,18,,"gun control, universal healthcare, equal rights",7,,5,4,6,,1,,7,,4,,
98,3,1,4,3,18,,Getting money out of politics,1,,7,2,6,,2,,7,,6,,Beat trump
99,1,2,3,3,10,,Equality,1,,5,2,6,,2,,6,Cathlic,3,,
100,2,2,3,3,18,,Taxes,1,,1,1,6,,2,,7,,3,,
101,2,1,4,3,10,,Immigration,1,,3,2,2,,1,,7,,3,,Theyre all sell outs
102,4,4,4,3,16,,"Low taxes, gender equality, climate change",2,,4,4,6,,2,,1,,3,,It is a shame UC Berkeley is so politizised
103,2,2,2,3,12,,Climate Change,1,,5,2,3,,2,,7,,6,,I seriously hope trump loses 
104,1,3,2,3,5,,Trade war,7,,1,4,2,,1,,7,,4,,
105,2,1,4,2,18,,Inequality,1,,9,4,6,,2,,7,,6,,
106,4,4,4,3,10,,campaign finance,1,,6,2,4,,2,,1,,6,,
107,1,2,4,3,10,,equal rights ,1,,5,2,2,,1,,6,catholic,3,,
108,1,1,1,3,16,,economy,2,,7,1,6,,1,,1,,6,,
109,4,1,4,1,23,,"Trade War, Economy, Taxation ",2,,9,1,6,,2,,3,,5,,
110,4,1,4,3,18,,social issues abortion rights,1,,7,1,6,,1,,1,,6,,
111,2,2,3,3,11,,,1,,5,2,1,,1,,7,,6,,
112,,,,,23,,Foreign Policy  ,7,,2,2,1,,2,,7,,3,,
113,1,1,1,3,16,,War,2,,5,3,5,,2,,7,,4,,
114,1,4,4,3,10,,Climate change,1,,1,1,3,,1,,7,,2,,
115,1,1,2,3,23,,Gender,1,,7,1,6,,2,,1,,4,,
116,1,1,1,2,23,,,7,,6,4,4,,2,,4,,4,,
117,2,1,3,3,21,,Higher Education and debt,6,I’m nonpartisan ,5,1,3,,1,,4,,4,,
118,2,3,4,3,21,,Economy,2,,3,1,2,,2,,7,,5,,"If the economic numbers stay good, Trump takes it."
119,1,,1,2,10,,wealth inequalty,1,,7,3,6,,2,,4,,6,,
120,2,1,4,2,18,,Climate change,1,,7,3,5,,1,,7,,4,,
121,4,2,4,2,18,,Climate Change,1,,2,1,2,,2,,7,,3,,Primary objective is to make sure Trump does not win again
122,2,1,4,2,23,,healthcare policy,1,,8,4,3,,1,,7,,4,,
123,4,4,4,2,18,,income/wealth inequality,1,,5,2,2,,1,,4,,7,,
124,4,3,4,2,10,,international relations,1,,2,2,3,,1,,3,,5,,
125,3,1,4,1,16,,student visa ,2,,9,4,6,,2,,5,,4,,Fuck liberals
127,1,2,1,2,2,,Abortion,7,,7,1,1,,2,,1,,6,,no
128,1,1,4,3,23,,improved living conditions for homeless and better mental health programs,3,,6,2,3,,2,,1,,4,,
129,2,1,4,2,11,,International relatipnship/immigration laws,7,,1,4,5,,1,,6,Baha'I ,5,,
130,2,1,4,3,10,,Public health care,7,,5,4,7,Psychology,1,,7,,5,,No
131,1,1,4,3,21,,employment,7,,4,4,6,,1,,7,,4,,unpredictable
132,1,1,4,3,22,not American,no one above law,6,Liberal party of Canada,9,4,6,,2,,7,,4,,no one is above the law
133,1,1,1,3,23,,I don't know,8,,2,2,3,,1,,6,Catholic,3,,
134,4,3,4,2,18,,environment,1,,5,3,5,,2,,2,,6,,
135,1,1,2,3,21,,Healthcare,1,,9,4,5,,2,,7,,4,,Nice that you guys have a fair debate :)
136,1,1,1,2,23,,not clear,8,,4,4,6,,1,,7,,4,,no familiar
137,1,1,4,3,21,,,1,,1,3,6,,2,,1,,4,,
138,4,1,4,3,10,,Rights for all ppl,1,,1,1,3,,1,,7,,3,,
139,3,4,4,2,21,,foreign policy,7,,6,2,6,,2,,3,,5,,
140,2,1,4,3,2,,health care,1,,6,1,6,,2,,1,,6,,
141,4,3,4,2,11,,mass incarceration of african americans,1,,6,2,3,,1,,1,,1,,
142,2,1,4,3,5,,abortion,7,,7,2,2,,1,,7,,4,,
143,3,2,4,3,18,,"Abortion rights, gun control",1,,3,1,1,,1,,1,,3,,
144,3,1,4,3,23,,,1,,5,2,2,,1,,7,,9,,
145,1,1,2,2,11,,,,,,,,,,,,,,,
146,2,1,3,1,10,,"Visa, healthcare",6,,9,4,5,,1,,6,,4,,
147,4,1,4,3,23,,Political polarization,1,,7,3,5,,1,,7,,4,,
148,1,3,1,2,23,,Environmental issues ,8,,5,1,3,,1,,7,,6,,
149,4,1,4,2,10,,Undermining capitalism,1,,1,4,1,,2,,7,,3,,
150,1,1,1,3,23,,No clue,8,,7,4,4,,2,,7,,4,,
151,1,1,1,3,23,,Not involved. ,1,,7,4,1,,1,,7,,4,,
152,3,4,4,2,10,,Climate Change,1,,4,2,1,,2,,7,,3,,Go Bernie
153,1,1,1,2,10,,"Humanity, caring for people.",8,,8,2,1,,2,,1,,6,,
154,4,4,4,3,18,,Foreign policy ,1,,4,4,3,,2,,7,,6,,I worry that there is still a high likelihood trump will be re-elected
155,3,1,4,3,16,,Supreme Court/abortion,2,,2,2,4,,2,,7,,9,,"It's a shit show of communism and incompetence, should be fun"
156,1,1,3,3,23,,Economics,7,,9,3,3,,1,,1,,7,,
157,3,1,4,1,23,,RMB exchange rate,1,,1,4,2,,1,,7,,8,Chinese,To understand China
158,1,1,1,3,23,,Gun control,8,,9,4,7,,1,,5,,4,,None
159,2,2,4,3,18,,Income inequality ,1,,7,2,2,,2,,1,,4,,
160,2,1,1,3,3,,Not that important ,2,,6,1,6,,2,,7,,4,,Nope
161,2,2,3,1,10,,Jobs,1,,4,4,7,Law,2,,3,,4,,Go Democrats!
162,1,1,3,2,18,,Decolonization; repetitions; prison abolition,8,,8,4,2,,1,,1,,1,,
163,3,2,1,2,16,,education ,1,,8,4,2,,1,,7,,4,,
164,1,2,4,3,23,,Health ,7,,5,4,2,,1,,7,,4,,
165,1,2,3,3,10,,Green New Deal,1,,4,1,3,,1,,7,,3,,
166,2,1,4,3,21,,Public Healthcare,1,,3,2,7,Computer Science,1,,1,,4,,
167,1,4,2,3,16,,Economy ,2,,7,1,2,,1,,1,,2,,I cant discuss i am republican because people start behaving mean and rude towards me 
168,2,2,3,2,23,,Equal opportunity ,3,,2,1,2,,1,,6,Catholic ,3,,
169,2,,3,2,23,,,8,,9,4,5,,2,,7,,4,,
170,1,1,2,2,1,,diplomacy,1,,8,4,3,,1,,7,,4,,
171,1,1,2,2,16,,The economy,2,,7,2,6,,2,,1,,6,,It's a shit show
172,1,1,3,2,11,,National security,7,,7,1,2,,5,,7,,6,,MAGA
173,3,2,4,3,18,,Student debt,1,,5,4,2,,1,,7,,3,,
174,2,1,4,2,5,,Gun control,1,,6,1,5,,2,,1,,6,,
175,1,2,4,3,16,,No Populism,2,,9,4,7,Economics,2,,4,,8,Korean,No communism
176,2,1,4,3,23,,Global warming ,1,,3,2,2,,1,,7,,7,,
177,4,2,,3,5,,Immigration ,1,,7,4,6,,1,,7,,4,,
178,1,1,4,2,10,,Environmental policy,1,,2,1,2,,1,,1,,3,,N/a
179,4,2,4,2,10,,Climate change,4,,2,4,3,,1,,1,,3,,Not r
180,1,1,1,3,23,,Equality and equity,1,,3,4,2,,1,,7,,4,,
181,4,1,4,3,21,,Environment and economics,1,,3,1,5,,1,,7,,3,,No
182,1,1,1,3,23,,democracy,8,,9,4,5,,2,,8,,4,,
183,4,2,4,3,10,,Health care,1,,5,2,3,,2,,1,,3,,
184,2,1,4,3,6,,Immigration,1,,2,1,3,,1,,7,,3,,
185,3,1,2,3,21,,,8,,8,4,4,,1,,7,,4,,
186,2,1,,2,12,,Climate change and immigration ,1,,6,2,5,,2,,3,,4,,
187,3,2,4,2,10,,Climate change,1,,4,1,1,,1,,7,,3,,Fuck Joe biden
188,1,1,1,3,23,,"Environment, education, social welfare ",7,,8,4,6,,1,,8,,4,,
189,2,1,4,3,12,,Health Insurance,1,,7,2,3,,2,,5,,4,,
190,2,2,3,2,18,,Environmental issues ,1,,6,2,2,,1,,7,,5,,
191,1,1,3,3,23,,,2,,7,3,5,,2,,7,,4,,
192,2,1,4,3,10,,Health Care,1,,2,3,7,Humanities and Biological Sciences ,2,,7,,6,,N\a
193,1,1,4,3,23,,Economical prosperity,1,,2,4,4,,2,,7,,6,,
194,1,1,4,3,5,,Gun control,7,,3,2,3,,1,,7,,3,,I hope the democratic candidate is chosen as someone who can try to pull switch votes instead of who’s the most liberal. We in general need change and nothing can be done at a deadlock with both sides pushing to both radicals of each spectrum. 
195,1,1,1,2,16,,Taxes,2,,7,2,3,,1,,6,Catholic,4,,
196,4,4,2,3,18,,Economic equality,1,,1,3,1,,1,,2,,6,,No
197,3,1,4,,5,,Economic success ,3,,2,1,3,,2,,7,,6,,No
198,2,1,4,3,23,,,1,,8,1,2,,1,,7,,4,,
199,4,2,4,3,21,,Social issues,1,,7,1,3,,1,,5,,4,,
200,2,1,3,3,23,,Taxes,7,,6,1,2,,1,,1,,4,,
201,1,1,3,2,12,,Climate change ,1,,6,2,3,,1,,6,,4,,
202,3,3,4,2,2,,Healthcare ,1,,6,2,1,,1,,7,,6,,
203,2,1,2,3,10,,Equality,1,,8,4,2,,1,,1,,6,,
204,1,1,2,3,10,,Immigration ,1,,3,2,3,,2,,7,,3,,
206,2,1,4,1,23,,Environmental protection ,1,,3,2,1,,1,,1,,7,,rip
207,3,3,4,2,21,,"Reasonable, actionable policy",1,,3,2,5,,2,,1,,7,,
208,2,1,2,1,23,,Immigration ,7,,2,1,1,,2,,1,,4,,No
209,1,1,2,3,23,,Immigrant policies,1,,5,4,2,,1,,7,,4,,
210,4,3,4,3,18,,Climate change ,1,,5,3,2,,1,,7,,6,,
211,1,1,2,2,23,,Equality ,8,,7,4,2,,2,,5,,8,Indian,No comments 
212,3,3,4,3,5,,Climate change ,1,,7,1,2,,1,,7,,7,,There is a lot to take in with all the different people in the race as well as with trump being crazy 
213,1,4,4,3,22,Trump!,Corruption ,7,,3,2,6,,2,,1,,6,,Will it the last?
214,1,1,1,2,21,,Environmental ,8,,8,4,2,,2,,8,,4,,Good luck
215,3,2,4,2,5,,Foreign policy,1,,7,3,3,,1,,7,,4,,
216,4,1,3,3,10,,College Debt / Climate Change,1,,2,2,2,,2,,1,,4,,
217,4,2,4,2,18,,Wage disparity ,1,,1,3,3,,2,,7,,6,,
218,4,2,4,3,10,,Justice for all,6,Communist Party USA,7,3,5,,2,,2,,6,,Communism will win
219,2,,1,3,23,,"Immigrants, student visa",1,,5,4,5,,2,,7,,4,,
220,4,4,3,2,2,,Women’s rights,1,,3,2,5,,2,,5,,4,,
221,4,4,4,1,18,,Climate,1,,5,2,3,,2,,7,,6,,
222,1,2,4,3,11,,Humanity,1,,8,2,3,,1,,7,,4,,
223,2,1,4,2,21,,Climate change ,1,,5,1,4,,2,,7,,6,,
224,1,1,1,3,10,,Environmental and immigration issues,1,,5,2,2,,2,,1,,3,,Bernie probably 
225,4,1,4,3,23,,America’s massive debt,7,,9,1,5,,1,,7,,6,,"If the democrats continue focusing on a mainly anti trump message, Trump’s gonna win"
226,1,1,2,2,2,,Abortion laws,1,,7,1,5,,1,,5,,4,,
227,4,4,4,3,10,,Human rights,1,,1,3,3,,1,,7,,1,,
228,4,1,4,2,10,,Environment ,1,,7,2,3,,2,,7,,6,,
229,1,1,3,3,11,,,1,,8,3,5,,1,,5,,4,,
230,1,1,4,3,23,,Unity,1,,5,3,4,,1,,5,,4,,
231,4,3,4,2,10,,Medicare ,8,,6,3,2,,1,,3,,5,,
232,1,1,3,3,21,,guns,1,,6,2,5,,2,,7,,4,,
233,1,1,4,2,23,,China and Hong Kong ,7,,9,4,4,,1,,7,,4,,Not trump plz 
234,3,1,4,2,18,,Climate change,1,,5,2,4,,1,,7,,4,,
235,2,2,4,3,21,,global policies,1,,5,2,5,,1,,7,,4,,The democrats are too divided
236,1,3,3,2,10,,Gun control,1,,8,2,2,,3,,3,,4,,Nope
237,1,1,2,2,23,,Immigration ,8,,2,2,2,,2,,7,,3,,
238,1,1,1,3,23,,,1,,8,4,2,,1,,4,,4,,
239,1,1,1,3,23,,,1,,9,2,3,,2,,4,,4,,
240,1,1,4,2,10,,health care coverage,1,,3,1,1,,1,,6,Catholic ,3,,
241,4,4,4,3,18,,Not being a global disgrace,1,,6,2,4,,2,,7,,6,,
242,3,2,4,2,5,,International Environmental policy,7,,7,2,3,,1,,7,,7,,I hope we get through it in one piece! 
243,1,1,4,3,12,,Immigration ,1,,2,1,5,,1,,7,,3,,
244,1,2,4,3,5,,The climate crisis ,1,,6,2,5,,1,,7,,6,,
245,4,1,4,2,12,,Immigration rights. ,1,,5,1,5,,1,,1,,7,,
246,2,2,4,3,5,,Health insurance ,6,Nonpartisan ,1,2,4,,1,,8,,6,,
247,3,2,4,2,23,,Foreign Policy,1,,9,1,2,,1,,7,,4,,
248,1,1,,2,23,,Nuclear energy ,8,,3,4,5,,2,,6,,3,,
249,4,1,4,2,10,,Immigration reform and DREAMERS,1,,2,1,7,Design ,2,,7,,3,,I wish people would think more about each other 
250,4,4,4,3,18,,National Defecit,1,,9,1,5,,2,,7,,6,,
251,4,2,4,3,18,,Global warming,7,,5,4,2,,2,,7,,6,,"I fundamentally support Bernie's political revolution, but I believe Warren has the best concrete policy that is feasible to address Co2 emissions. And things are so precarious and there is so much urgency to the situation we find ourselves in that her solutions are more important than an all-encompassing Bernie revolution"
252,4,3,4,3,10,,"Medicare for all, free college tuition ",1,,8,2,1,,1,,7,,6,,
253,2,1,4,3,11,,Educational debt,1,,6,3,3,,1,,5,,4,,
254,3,1,4,2,23,,Human rights issues,1,,2,1,3,,1,,7,,7,,
255,2,2,2,2,23,,Climate change,1,,9,1,2,,1,,8,,6,,no
256,1,1,1,2,23,,Climate change ,7,,8,1,3,,1,,7,,7,,
257,1,1,4,2,12,,Gun control,1,,6,3,6,,1,,4,,4,,
258,2,3,4,3,18,,Immigration,1,,7,2,4,,1,,7,,6,,
259,4,1,4,3,10,,Immigration,7,,3,1,3,,1,,1,,3,,
260,2,4,3,2,11,,universal health care,1,,7,1,2,,1,,1,,6,,
261,2,2,4,3,21,,Universal Basic Income,1,,7,3,5,,1,,6,Pastafarianism,7,,
262,3,1,4,3,18,,Wealth redistribution,1,,6,3,5,,1,,1,,6,,
263,4,2,4,3,18,,Immigration,1,,1,4,2,,2,,7,,3,,I really hope 45th loses the election. If he wins it.. then we probably deserve it. Americans are racist
264,1,1,3,3,20,,Climate crisis,1,,3,2,1,,3,,4,,7,,
265,4,3,4,3,10,,health care,1,,3,1,3,,1,,6,Catholic,3,,We need to focus on the issues that are violating human rights!
266,4,1,4,3,18,,Gun control,1,,6,1,2,,1,,1,,6,,
267,4,1,4,1,18,,Climate change ,4,,5,2,2,,1,,7,,4,,
268,3,3,4,3,3,,climate,1,,6,2,5,,1,,7,,6,,
269,1,1,1,2,23,,The environment and education. ,8,,1,1,7,The arts ,1,,7,,4,,Politics are stressful and news is depressing. 
270,1,1,4,2,5,,Safety inclusion freedom,1,,8,1,1,,1,,2,,5,,
271,4,2,4,2,10,,Addressing Climate Change,1,,7,1,2,,1,,4,,7,,"I hope Elizabeth Warren or Bernie Sanders wins, but at this point any democrat is better than Trump. "
272,3,1,4,2,18,,Women’s rights,1,,5,4,2,,1,,7,,4,,
273,1,1,2,2,18,,"Taxes, immigration policy",1,,7,4,2,,1,,7,,4,,
274,3,2,1,2,5,,Gun control,1,,3,3,2,,1,,1,,6,,
275,4,2,4,3,18,,climate change,4,,9,1,3,,1,,7,,6,,
276,1,1,4,2,18,,Accessible Healthcare,1,,5,1,3,,1,,1,,4,,
277,2,3,2,2,21,,Healthcare,1,,7,2,5,,1,,7,,4,,
278,3,3,4,2,11,,gun control,1,,3,4,2,,1,,1,,6,,
279,2,2,1,2,18,,Environmental reform,1,,6,1,2,,1,,7,,7,,I am trying to get more educated!
280,4,3,4,2,10,,Public education ,1,,3,3,2,,1,,1,,6,,
281,1,1,3,3,16,,Lower taxes,2,,6,1,3,,1,,1,,3,,
282,2,2,2,2,10,,Rights for all,1,,7,2,3,,1,,1,,6,,
283,2,1,4,2,18,,Restructuring the economy ,1,,2,2,2,,1,,7,,4,,
284,4,4,2,2,18,,Polarization,1,,5,2,1,,1,,1,,6,,
285,4,2,4,3,18,,climate change,1,,5,1,2,,1,,7,,6,,
286,1,1,2,1,4,,Women’s rights,1,,7,1,2,,1,,7,,6,,
287,2,1,2,3,23,,Environmental Preservation,7,,7,3,4,,1,,7,,6,,
288,2,2,4,2,18,,equity!,1,,5,3,3,,2,,7,,6,,
289,2,1,4,2,10,,"Climate change, women and POC rights",8,,4,1,1,,1,,7,,4,,
290,2,1,4,3,18,,climate crisis,8,,8,1,1,,1,,7,,6,,
291,4,4,4,3,18,,Social policy concerns ,1,,3,1,2,,3,,7,,7,,N/a
292,2,2,4,3,10,,,7,,3,3,2,,1,,7,,6,,
293,4,1,4,1,20,,,7,,9,2,5,,3,,1,,1,,
294,3,1,4,2,23,,A moral society ,2,,9,2,1,,2,,1,,1,,There are too many candidates right now.
295,2,1,4,2,18,,Basic needs met,1,,5,2,3,,1,,7,,6,,
296,1,1,2,2,23,,Foreign relations; military; trans rights,7,,4,2,2,,1,,7,,6,,
297,1,1,2,2,23,,,3,,2,1,1,,1,,7,,7,,
298,2,2,3,2,23,,,2,,7,2,1,,1,,1,,6,,
299,1,1,4,3,10,,racial/economic equality ,7,,1,1,2,,1,,6,Agnostic,3,,
300,2,2,4,3,10,,ending inequality ,4,,6,2,2,,1,,6,"Jewish culturally, but with atheist beliefs ",6,,
301,4,4,4,3,11,,Healthcare,1,,6,2,2,,1,,7,,6,,
302,2,1,4,2,18,,Public health ,1,,1,2,2,,1,,7,,6,,
303,2,1,2,3,10,,Healthcare,1,,4,2,3,,1,,7,,7,,
304,1,1,2,2,18,,"Healthcare, public education",1,,5,2,5,,1,,7,,6,,
305,4,4,4,3,21,,Campaign Finance,6,Working Families Party,6,2,4,,2,,1,,6,,YANG GANG
306,2,1,4,3,22,"I am considering Warren and Sanders, but I haven't done enough research yet",Human rights issues,7,,1,2,1,,3,,7,,6,,"I HOPE for more than the lesser of two evils, but I cannot EXPECT it."
307,1,2,3,3,23,,Student tuitions,1,,1,1,1,,2,,1,,3,,
308,4,2,4,3,16,,"Economy, Immigration, Jobs",2,,4,1,6,,2,,6,,6,,Trump by a landslide
309,4,4,4,3,12,,Equity,1,,3,2,2,,1,,7,,4,,
310,2,1,4,2,23,,Climate change,8,,8,2,2,,1,,7,,6,,
311,4,3,3,3,18,,Education reform,1,,3,2,2,,1,,7,,6,,
312,1,1,4,2,23,,immigration,7,,3,4,1,,1,,7,,4,,
313,3,2,2,3,18,,Racism,1,,6,2,4,,1,,7,,6,,
315,1,3,2,2,11,,,1,,2,2,2,,1,,7,,,,
316,2,1,4,3,5,,,,,,,,,,,,,,,
317,2,1,3,2,,,,,,,,,,,,,,,,
