Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Business,Woman,White,19,,,,"Sad,Scared,Angry,Other",Volunteering,,2,No; I do not know how,Only Democrats,Yes,No,Somewhat agree,Strongly agree,Somewhat agree,2,Every couple of days,Every day,Never,Slightly important,Very important,Very important,Very important,Very important,Important,Very important,Moderately important,Important,Slightly important,,,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,White,23,No,Absentee / mail ballot,Clinton,"Sad,Angry,Other",Volunteering,,,No; I did not check,Mostly Democrats,Yes,I did not have class that day,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every couple of days,Once or twice a month,Important,Very important,Very important,Very important,Moderately important,Important,Important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Engineering/Computer Science,Woman,Mixed Race,21,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Community engagement,,,,,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,2,Every couple of days,Every day,Never,Very important,Very important,Important,Very important,Important,Very important,Very important,Very important,Important,Important,,,Extremely knowledgeable,Extremely knowledgeable
Life Sciences,Woman,Mixed Race,19,,,,"Sad,Scared",Volunteering,,,No; I do not know how,Only Democrats,I do not remember,No,Neutral,Somewhat agree,Somewhat disagree,3,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,White,23,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Volunteering,,1,No; I did not check,Mostly Democrats,Yes,No,Somewhat agree,Strongly agree,Somewhat agree,3,Every day,Every day,Once a week,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Corruption ,Very knowledgeable,Very knowledgeable
Engineering/Computer Science,Man,Mexican American/Chicanx,21,,,,Scared,Community engagement,,,,,Yes,No,Strongly agree,Somewhat agree,Somewhat agree,3,Every day,Every couple of days,Every couple of days,Very important,Important,Very important,Very important,Important,Very important,Important,Very important,Very important,Very important,Very important,Military/ongoing wars,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,White,19,,,,Angry,Voting,,,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Neutral,Neutral,3,Every couple of days,Every couple of days,Never,Very important,Important,Important,Very important,Very important,Very important,Very important,Important,Very important,Important,Moderately important,,Moderately knowledgeable,Very knowledgeable
Arts & Humanities,Woman,White,18,,,,"Sad,Scared,Angry",Voting,,2,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every day,Once or twice a month,Very important,Very important,Very important,Important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Engineering/Computer Science,Woman,White,19,,,,"Sad,Scared,Angry",Community engagement,,,Yes; it was counted,Only Democrats,No,No,Somewhat agree,Neutral,Somewhat disagree,4,Once a week,Once a week,Once or twice a month,Very important,Very important,Very important,Important,Important,Important,Important,Important,Important,Important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,White,22,Yes,Absentee / mail ballot,3rd party,Sad,Community engagement,,1,No; I do not know how,Mostly Democrats,No,No,Strongly agree,Strongly agree,Strongly agree,5,Once or twice a year,Once a week,Once or twice a month,Important,Important,Important,Important,Slightly important,Slightly important,Important,Slightly important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,White,20,Yes,Polling station,Clinton,Other,Community engagement,,,No; I did not check,A mix of candidates,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,4,Every couple of days,Every couple of days,Once or twice a month,Moderately important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Marijuana,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Other,22,Yes,Polling station,Clinton,"Sad,Scared",Community engagement,,,Yes; it was counted,A mix of candidates,Yes,No,Neutral,Neutral,Neutral,6,Once a week,Once a week,Once or twice a year,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Business,Man,Mexican American/Chicanx,25+,Yes,Polling station,Clinton,Other,Volunteering,,,,,No,I did not have class that day,Somewhat disagree,Somewhat agree,Somewhat agree,3,Once or twice a month,Once or twice a month,Once or twice a month,Slightly important,Moderately important,Important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Mexican American/Chicanx,19,,,,"Sad,Scared,Angry",Community engagement,,4,No; I do not know how,Mostly Democrats,I do not remember,No,Strongly agree,Strongly agree,Neutral,2,Once a week,Every couple of days,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,,,
Business,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Voting,,,No; I do not know how,Only Democrats,Yes,I did not have class that day,Strongly agree,Strongly agree,Somewhat disagree,2,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Business,Woman,White,18,,,,Happy,Volunteering,,2,No; I do not know how,Only Republicans,No,No,Somewhat agree,Strongly disagree,Strongly disagree,9,Every couple of days,Every couple of days,Never,Very important,Not important,Important,Very important,Very important,Moderately important,Moderately important,Slightly important,Slightly important,Slightly important,,,Not knowledgeable at all,Slightly knowledgeable
Engineering/Computer Science,Man,White,22,Yes,Polling station,Clinton,Scared,Voting,,,No; I do not know how,Only Democrats,Yes,I did not have class that day,Somewhat agree,Strongly agree,Somewhat agree,3,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Engineering/Computer Science,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Mostly Democrats,I do not remember,No,Strongly agree,Strongly agree,Somewhat disagree,3,Every day,Every day,Once or twice a year,Very important,Important,Important,Very important,Important,Very important,Very important,Important,Important,Important,,,Extremely knowledgeable,Extremely knowledgeable
Social Sciences,Man,Other,21,No,I do not remember,3rd party,Scared,Voting,,2,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Strongly disagree,Strongly disagree,5,Once or twice a year,Once or twice a month,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Important,Presidential oversight,Slightly knowledgeable,Very knowledgeable
Social Sciences,Woman,White,23,Yes,Absentee / mail ballot,Clinton,Other,Community engagement,,,No; I did not check,Mostly Democrats,I do not remember,No,Somewhat disagree,Neutral,Strongly disagree,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Removal of corporate influence in politics ,Extremely knowledgeable,Extremely knowledgeable
Life Sciences,Woman,Mexican American/Chicanx,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Volunteering,,2,Yes; it was counted,Only Democrats,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,2,Once a week,Once a week,Once or twice a month,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Life Sciences,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,2,No; I did not check,Only Democrats,Yes,No,Neutral,Neutral,Strongly disagree,2,Once a week,Every couple of days,Once a week,Very important,Important,Important,Important,Important,Very important,Very important,Important,Important,Important,,,Moderately knowledgeable,Very knowledgeable
Arts & Humanities,Man,Asian,25+,Yes,Polling station,3rd party,Other,Voting,,1,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Somewhat disagree,Somewhat disagree,1,Never,Once a week,Once or twice a year,Slightly important,Slightly important,Moderately important,Slightly important,Important,Important,Moderately important,Moderately important,Slightly important,Slightly important,Very important,Education spending ,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,25+,Yes,Polling station,Clinton,"Sad,Scared,Angry",Voting,,,,,I do not remember,No,Strongly agree,Somewhat agree,Somewhat agree,4,Every couple of days,Every couple of days,Once or twice a month,Important,Important,Very important,Very important,Moderately important,Very important,Very important,Important,Important,Important,,,Slightly knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,White,19,,,,"Sad,Angry",Community engagement,,,No; I did not check,Only Democrats,No,No,Somewhat agree,Strongly agree,Strongly agree,1,Every day,Every day,Never,Very important,Important,Moderately important,Important,Very important,Very important,Very important,Important,Very important,Important,Very important,Money in Politics,Extremely knowledgeable,Extremely knowledgeable
Arts & Humanities,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Community engagement,,1,No; I did not check,Only Democrats,Yes,No,Strongly agree,Strongly agree,Strongly agree,1,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,,Very knowledgeable,Very knowledgeable
Social Sciences,Woman,Mixed Race,20,,,,"Sad,Scared,Angry",Community engagement,,1,No; I did not check,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat disagree,2,Every day,Every day,Every couple of days,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,,Very knowledgeable,Very knowledgeable
Life Sciences,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,1,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Strongly agree,Strongly agree,1,Every couple of days,Every couple of days,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Extremely knowledgeable,Extremely knowledgeable
Social Sciences,Man,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Volunteering,,,No; I do not know how,Mostly Democrats,Yes,No,Somewhat disagree,Somewhat agree,Somewhat disagree,3,Every day,Every day,Once a week,Important,Moderately important,Important,Not important,Slightly important,Slightly important,Important,Important,Very important,Very important,Not important,,Very knowledgeable,Moderately knowledgeable
Arts & Humanities,Transgender,Mixed Race,19,,,,"Scared,Angry",Voting,,3,,,Yes,No,Strongly agree,Somewhat agree,Somewhat disagree,2,Once or twice a month,Once or twice a month,Every couple of days,Very important,Very important,Important,Moderately important,Slightly important,Very important,Very important,Slightly important,Moderately important,Very important,Moderately important,,Not knowledgeable at all,Not knowledgeable at all
Life Sciences,Woman,Asian,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,4,No; I do not know how,Only Democrats,Yes,No,Somewhat agree,Neutral,Neutral,3,Once or twice a month,Once a week,Once or twice a month,Important,Important,Important,Important,Moderately important,Important,Very important,Very important,Very important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,Mexican American/Chicanx,18,,,,Scared,Community engagement,,2,Yes; it was counted,Mostly Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Neutral,3,Once or twice a month,Once a week,Once a week,Very important,Very important,Very important,Very important,Important,Very important,Moderately important,Moderately important,Very important,Very important,Slightly important,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,White,18,,,,"Sad,Scared,Angry",Volunteering,,1,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat disagree,3,Every couple of days,Every day,Never,Very important,Moderately important,Moderately important,Moderately important,Important,Very important,Moderately important,Important,Important,Important,Not important,,Slightly knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Voting,,1,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat disagree,4,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Education,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Gender non-binary,Mixed Race,18,,,,"Sad,Scared,Angry",Voting,,,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Somewhat agree,3,Once a week,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Very knowledgeable
Engineering/Computer Science,Man,Mixed Race,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared",Other,Really no clue. ,3,No; I do not know how,Mostly Democrats,I do not remember,I do not remember,Strongly agree,Strongly agree,Somewhat disagree,3,Once or twice a year,Every day,Never,Very important,Very important,Important,Moderately important,Very important,Important,Very important,Moderately important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Other,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,No,No,Somewhat agree,Neutral,Somewhat disagree,2,Once a week,Once a week,Once or twice a year,Very important,Very important,Very important,Not important,Slightly important,Very important,Very important,Very important,Very important,Very important,,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Man,Asian,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,,,,I do not remember,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,4,Once a week,Every couple of days,Never,Very important,Important,Important,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Volunteering,,3,No; I did not check,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Neutral,3,Every day,Every day,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Important,,,Very knowledgeable,Very knowledgeable
Engineering/Computer Science,Man,White,20,Yes,Absentee / mail ballot,Clinton,Sad,Donating money,,1,No; I do not know how,Only Democrats,Yes,No,Somewhat agree,Strongly agree,Somewhat agree,3,Every couple of days,Every day,Never,Very important,Very important,Important,Moderately important,Very important,Important,Very important,Moderately important,Important,Very important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Mostly Democrats,Yes,Yes,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Life Sciences,Woman,Asian,21,Yes,Polling station,Clinton,"Sad,Scared,Other",Community engagement,,,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every couple of days,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Life Sciences,Woman,Mixed Race,21,,,,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Neutral,2,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Very important,Slightly important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Slightly knowledgeable
Social Sciences,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,2,No; I did not check,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Neutral,2,Every couple of days,Every day,Once or twice a year,Very important,Very important,Very important,Important,Important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Moderately knowledgeable
Business,Woman,Other Hispanic/Latinx,25+,Yes,Polling station,Clinton,Angry,Voting,,1,No; I did not check,Only Democrats,No,Yes,Neutral,Neutral,Neutral,6,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Equal Pay ,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Man,Other,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared",Community engagement,,5,,,Yes,No,Somewhat disagree,Somewhat agree,Strongly disagree,2,Never,Never,Never,Very important,Important,Moderately important,Slightly important,Important,Very important,Important,Important,Very important,Very important,,,Not knowledgeable at all,Not knowledgeable at all
Physical Sciences/Mathematics,Man,White,18,,,,"Sad,Scared",Volunteering,,2,No; I did not check,Only Democrats,No,No,Strongly agree,Strongly agree,Somewhat disagree,2,Every day,Every day,Never,Very important,Important,Moderately important,Important,Moderately important,Important,Important,Moderately important,Important,Important,,,Slightly knowledgeable,Very knowledgeable
Life Sciences,Woman,Asian,18,,,,"Sad,Scared",Volunteering,,4,,,Yes,No,Strongly agree,Strongly agree,Neutral,2,Once a week,Once a week,Never,Important,Very important,Very important,Moderately important,Moderately important,Moderately important,Important,Important,Important,Important,Moderately important,,Moderately knowledgeable,Very knowledgeable
Social Sciences,Woman,Asian,21,Yes,Polling station,Clinton,Scared,Volunteering,,4,No; I did not check,Only Democrats,Yes,Yes,Strongly agree,Strongly disagree,Somewhat disagree,3,Once or twice a month,Every couple of days,Never,Important,Very important,Very important,Very important,Slightly important,Important,Very important,Very important,Important,Important,Very important,Child Welfare System,Not knowledgeable at all,Slightly knowledgeable
Life Sciences,Man,Mixed Race,25+,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Community engagement,,,Yes; it was counted,Mostly Democrats,No,No,Strongly agree,Somewhat agree,Somewhat disagree,2,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Not important,,Very knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,White,22,Yes,Polling station,Clinton,Angry,Voting,,3,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Strongly agree,Neutral,2,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Mixed Race,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat disagree,2,Once or twice a month,Once or twice a month,Never,Very important,Important,Important,Very important,Moderately important,Very important,Important,Very important,Very important,Very important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Asian,20,,,,Scared,Community engagement,,,,,I do not remember,No,Strongly agree,Somewhat agree,Somewhat agree,2,Once or twice a month,Once a week,Once or twice a month,Very important,Very important,Very important,Moderately important,Important,Important,Very important,Moderately important,Very important,Very important,,,Moderately knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,White,20,Yes,Absentee / mail ballot,Trump,"Happy,Excited",Volunteering,,1,No; I do not know how,Only Republicans,No,No,Somewhat agree,Strongly disagree,Strongly disagree,8,Every couple of days,Every day,Never,Moderately important,Slightly important,Not important,Important,Very important,Not important,Not important,Not important,Not important,Not important,,,Extremely knowledgeable,Extremely knowledgeable
Arts & Humanities,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared",Community engagement,,3,No; I did not check,A mix of candidates,Yes,No,Strongly agree,Neutral,Strongly disagree,4,Once a week,Once a week,Once or twice a year,Important,Very important,Very important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,,,Slightly knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Asian,19,,,,Scared,Community engagement,,3,No; I do not know how,Mostly Democrats,Yes,No,Somewhat agree,Strongly agree,Strongly agree,3,Every couple of days,Every couple of days,Once or twice a year,Important,Very important,Very important,Important,Moderately important,Moderately important,Very important,Moderately important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Voting,,1,No; I do not know how,Mostly Democrats,No,No,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every couple of days,Never,Important,Very important,Very important,Important,Important,Very important,Important,Important,Very important,Important,,,Slightly knowledgeable,Slightly knowledgeable
Business,Man,White,20,Yes,Polling station,Trump,Happy,Donating money,,4,No; I do not know how,Mostly Republicans,I do not remember,I did not have class that day,Somewhat agree,Strongly disagree,Strongly disagree,7,Once or twice a year,Once a week,Never,Important,Slightly important,Moderately important,Slightly important,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Not important,Slightly important,Business law,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Man,African American/Black,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Donating money,,,No; I do not know how,Mostly Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat disagree,4,Every couple of days,Once a week,Never,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,I do not remember,No,Neutral,Somewhat agree,Somewhat disagree,2,Every day,Every day,Once or twice a year,Very important,Very important,Very important,Important,Important,Very important,Important,Important,Very important,Very important,,,Moderately knowledgeable,Slightly knowledgeable
Business,Woman,Mixed Race,25+,No,,,"Sad,Scared",Community engagement,,2,No; I do not know how,Mostly Democrats,I do not remember,Yes,Somewhat agree,Somewhat agree,Somewhat agree,,Once or twice a month,Once a week,Once or twice a year,Slightly important,Moderately important,Moderately important,Important,Moderately important,Important,Important,Moderately important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Asian,20,Yes,Polling station,Clinton,Sad,Community engagement,,1,Yes; it was counted,Mostly Democrats,No,I did not have class that day,Strongly agree,Strongly agree,Somewhat agree,5,Once or twice a year,Once a week,Never,Very important,Very important,Moderately important,Moderately important,Important,Important,Slightly important,Moderately important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Asian,20,Yes,Provisional ballot,Clinton,"Sad,Angry",Community engagement,,,Yes; it was counted,A mix of candidates,,No,Strongly agree,Neutral,Neutral,,Once or twice a month,Every couple of days,Never,,,,,,,,,,,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,White,18,,,,"Sad,Scared,Angry",Community engagement,,2,Yes; it was counted,Mostly Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Once a week,Once a week,Once or twice a month,Very important,Very important,Very important,Very important,Important,Very important,Very important,Moderately important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,White,19,,,,Other,Volunteering,,,,,No,No,,,,,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,White,19,,,,"Scared,Angry",Community engagement,,2,,,No,No,Strongly agree,Somewhat disagree,Strongly disagree,3,Once or twice a month,Once a week,Once or twice a month,Very important,Very important,Very important,Very important,Slightly important,Very important,Very important,Very important,Very important,Very important,Not important,,Not knowledgeable at all,Not knowledgeable at all
Life Sciences,Woman,Other Hispanic/Latinx,19,,,,Angry,Volunteering,,,No; I do not know how,Only Democrats,No,No,Strongly agree,Strongly agree,Somewhat disagree,2,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Not knowledgeable at all,Moderately knowledgeable
Life Sciences,Woman,Mixed Race,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared",Community engagement,,,Yes; it was not counted,Only Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat disagree,2,Every couple of days,Every day,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
